,Brand Name,Specific Bar Origin,REF,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Bean Origin
205,Bittersweet Origins,Sambirano,233,2008,71%,U.S.A.,3.0,Trinitario,Madagascar
206,Bittersweet Origins,Bocas del Toro,233,2008,75%,U.S.A.,3.5,Trinitario,Panama
207,Bittersweet Origins,Puerto Plata,233,2008,68%,U.S.A.,3.75,Trinitario,Dominican Republic
208,Bittersweet Origins,Ankasa,256,2008,70%,U.S.A.,3.0,Forastero,Ghana
209,Black Mountain,La Red,256,2008,70%,U.S.A.,2.75,Trinitario,Dominican Republic
210,Black Mountain,Carenero Superior,256,2008,70%,U.S.A.,2.75,Trinitario,Venezuela
211,Black Mountain,Matiguas,256,2008,70%,U.S.A.,3.0,Trinitario,Nicaragua
212,Black River,Blue Mountain Region,1331,2014,70%,U.K.,2.75,Trinitario,Jamaica
213,Blanxart, Grand Cru,1046,2013,82%,Spain,3.5,Forastero,Congo
215,Blue Bandana,Akesson's E.,1740,2016,82%,U.S.A.,3.5,Trinitario,Madagascar
216,Blue Bandana,Lachua,1752,2016,75%,U.S.A.,2.75,Trinitario,Guatemala
217,Blue Bandana,Kokoa Kamili,1752,2016,75%,U.S.A.,3.5,Trinitario,Tanzania
218,Blue Bandana,Zorzal Reserva,1756,2016,75%,U.S.A.,3.0,Trinitario,Dominican Republic
219,Blue Bandana,Guatemala,911,2012,70%,U.S.A.,3.5,Trinitario,Guatemala
220,Blue Bandana,Madagascar,911,2012,70%,U.S.A.,3.75,Trinitario,Madagascar
221,Bonnat,Selva Maya,1912,2016,75%,France,3.5,Criollo,Mexico
222,Bonnat,Kaori,1339,2014,75%,France,4.0,Trinitario,Brazil
223,Bonnat,Los Colorados,1418,2014,75%,France,3.25,Trinitario,Dominican Republic
224,Bonnat,Surfin,1418,2014,65%,France,3.75,Trinitario,"Venez,Africa,Brasil,Peru,Mex"
225,Bonnat,Maragnam,1038,2013,75%,France,3.5,Trinitario,Brazil
226,Bonnat,Gabon,1042,2013,75%,France,3.25,Trinitario,Gabon
227,Bonnat,Cuba,629,2011,75%,France,3.5,Trinitario,Cuba
228,Bonnat,Cusco,629,2011,75%,France,3.5,Criollo,Peru
229,Bonnat,Piura Blanco,629,2011,75%,France,3.5,Nacional,Peru
